-24.85 -60.06 13.0 6.6e+17 7.9e+16 -7.39e+17 2.8e+16 6.63e+17 -3.83e+17 1  X Y 202002081432A
77.4 -36.78 12.1 -1.45e+18 1.23e+18 2.12e+17 -4.5e+17 5.63e+17 -7.95e+17 1  X Y 202004120657A
-79.55 19.33 23.9 -1.23e+19 -1.78e+20 1.9e+20 4.13e+19 -1.15e+19 3.86e+20 1  X Y 202001281910A
126.58 5.41 28.7 1.23e+18 2.35e+17 -1.46e+18 5.16e+17 1.05e+18 -7.3e+16 1  X Y 202002061340A
113.09 -6.11 597.0 -1.78e+18 1.65e+18 1.34e+17 -1.96e+18 7.55e+17 -4.74e+17 1  X Y 202002051812A
160.89 -10.1 30.1 2.2800000000000003e+18 3.86e+17 -2.67e+18 -1.2e+18 -1.46e+18 7.24e+17 1  X Y 202001270502A
-179.87 51.11 22.8 1.31e+18 -1.34e+18 2.6e+16 8.22e+17 6.08e+17 -4.02e+17 1  X Y 202001260631A
151.18 -5.28 121.3 -1.62e+17 -7.3e+16 2.35e+17 -1.07e+18 -3.54e+17 2.7e+17 1  X Y 202001071911A
142.19 38.85 42.8 3.69e+18 -2.1e+16 -3.67e+18 1.88e+18 3.75e+18 -1.1499999999999999e+18 1  X Y 202004192039A
31.69 -48.07 12.0 -9.84e+17 1.64e+18 -6.51e+17 5.27e+17 5.03e+17 1.47e+18 1  X Y 202009261710A
-26.91 0.94 13.8 -5.3e+17 3.76e+18 -3.22e+18 4.0000000000000005e+18 -1.23e+18 -2.41e+19 1  X Y 202009182143A
-69.99 -21.38 56.9 4.01e+17 -2.87e+18 2.47e+18 4.48e+17 1.0000000000000001e+18 1.97e+17 1  X Y 202009110735A
-84.69 9.48 28.7 1.17e+18 -9.850000000000001e+17 -1.84e+17 8.7e+17 -6.24e+17 5.6099999999999994e+17 1  X Y 202008242151A
-25.01 -60.97 12.0 -3.44e+18 2.0000000000000003e+18 1.44e+18 1.0100000000000001e+18 4.01e+17 2.85e+18 1  X Y 202007260053A
-96.07 16.02 21.5 6.959999999999999e+19 -7.04e+19 8e+17 1.09e+20 -6.44e+19 1.7000000000000002e+19 1  X Y 202006231529A
-18.72 66.46 12.0 -1.25e+18 1.3e+16 1.23e+18 1.99e+17 -1.77e+17 3.9e+16 1  X Y 202006211907A
